"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,매출채권의 감소(증가),Adjustments for decrease (increase) in trade accounts receivable,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,매출채권의 감소(증가),20356676633.0,-84097884683.0,-52569173928.0,13545504078.0,-3786589174.0,-11618366104.0,-50084348853.0,9057586335.0,14004211351.0,-69277146950.0,39550504264.0,-2232255725.0,11095213208.0,747497894.0,-50536658870.0
dart_AdjustmentsForDecreaseincreaseInOtherReceivables,미수금의 감소(증가),Adjustments for decrease (increase) in other receivables,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,미수금의 감소(증가),-18072521745.0,-4579566451.0,-19321501771.0,-2791121207.0,10922957201.0,-19555578376.0,-6995215078.0,13545762860.0,24013196754.0,34254469763.0,34346833308.0,56389354579.0,-11787736284.0,28023277858.0,-108213672249.0
ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,재고자산의 감소(증가),Adjustments for decrease (increase) in inventories,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,재고자산의 감소(증가),51628800070.0,-12779124374.0,-99865169440.0,-4343923812.0,67798523921.0,27590186416.0,-9362834114.0,-25827327416.0,44102736729.0,-10594149050.0,-77878073005.0,5491077344.0,8472790666.0,-45030177099.0,-17148267459.0
dart_AdjustmentsForDecreaseincreaseInOtherCurrentFinancialAssetsAndOtherCurrentNonFinancialAssets,기타유동금융자산과 기타유동비금융자산의 감소(증가),Adjustments for decrease (increase) in other current financial assets and other current non-financial assets,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타유동금융자산과 기타유동비금융자산의 감소(증가),-3328474144.0,-112015762.0,-1545188231.0,515017682.0,4314495067.0,3705044798.0,-1096445627.0,228115578.0,-1420160978.0,-861283896.0,4892968879.0,583337702.0,-4953449293.0,-1400640794.0,783901572.0
ifrs-full_AdjustmentsForDecreaseIncreaseInOtherAssets,기타자산의 감소(증가),Adjustments for decrease (increase) in other assets,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타자산의 감소(증가),-28272493484.0,-798079326.0,-15282237678.0,-16655254843.0,31587260068.0,-34826723287.0,3954906144.0,5315158715.0,-56115287481.0,-7423680958.0,500000000.0,-3432413769.0,3818878308.0,-22582791707.0,40599117197.0
ifrs-full_AdjustmentsForIncreaseDecreaseInTradeAccountPayable,매입채무의 증가(감소),Adjustments for increase (decrease) in trade accounts payable,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,매입채무의 증가(감소),-89808555746.0,-27410923558.0,-24320108436.0,-39685644467.0,25285391748.0,35004351856.0,23369519482.0,-30417402579.0,-48618164089.0,40330258506.0,-36441345870.0,-25682490603.0,-42874312055.0,21323548603.0,71798965789.0
dart_AdjustmentsForIncreasedecreaseInOtherPayables,미지급금의 증가(감소),Adjustments for increase (decrease) in other payables,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,미지급금의 증가(감소),36505695877.0,46806020084.0,12815031446.0,-7196628792.0,-13254983001.0,-19480060937.0,-10534907032.0,41848780871.0,29286637969.0,-22966655619.0,-32046101543.0,-51178144627.0,12962216801.0,-136785240623.0,67072141993.0
ifrs-full_IncreaseDecreaseInNetDefinedBenefitLiabilityAsset,순확정급여부채(자산)의 증가(감소),Increase (decrease) in net defined benefit liability (asset),현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,순확정급여부채(자산)의 증가(감소),-9275152537.0,-13246632017.0,-9361487843.0,-688635321.0,,3526152766.0,3673290188.0,,,,,,,,
dart_AdjustmentsForIncreasedecreaseInOtherCurrentFinancialLiabilitiesAndOtherCurrentNonFinancialLiabilities,기타유동금융부채와 기타유동비금융부채의 증가(감소),Adjustments for increase (decrease) in other current financial liabilities and other current non-financial liabilities,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타유동금융부채와 기타유동비금융부채의 증가(감소),32360135386.0,27904845174.0,15541054461.0,12060445911.0,-11378853367.0,11259790156.0,5072177179.0,-20126350673.0,34732676367.0,3146855956.0,6869693589.0,10279601979.0,2150328192.0,14737987564.0,-2304452834.0
ifrs-full_AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities,기타유동부채의 증가(감소),Adjustments for increase (decrease) in other current liabilities,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타유동부채의 증가(감소),-10231766054.0,-13164158587.0,43254815205.0,-16114430475.0,-13234034865.0,57159870010.0,-2033079387.0,84597158747.0,-20366514138.0,23772950311.0,-6134697965.0,1304301357.0,-5169260022.0,10366864672.0,9830383939.0
