"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short-term borrowings,현금흐름표 [개요],재무활동으로 인한 현금흐름,단기차입금의 차입,3662892000000.0,2144959000000.0,3388510000000.0,3769996000000.0,301587000000.0,1418012000000.0,2167765000000.0,1345789000000.0,-1369186000000.0,1887238000000.0,1412120000000.0,-864251000000.0,-1363213000000.0,-1084499000000.0,1404299000000.0
entity00164742_IncreaseInLongTermBorrowingsAndBondsOfCashFlowsFromUsedInFinancingActivities,장기차입금 및 사채의 차입,Increase in long-term borrowings and bonds,현금흐름표 [개요],재무활동으로 인한 현금흐름,장기차입금 및 사채의 차입,61763960000000.0,49089498000000.0,30089495000000.0,40688506000000.0,35536741000000.0,25557933000000.0,18561982000000.0,28134152000000.0,27509144000000.0,28132100000000.0,19001138000000.0,23632277000000.0,23448538000000.0,15501739000000.0,12896095000000.0
ifrs-full_ProceedsFromIssuingShares,종속기업의 증자,Proceeds from capital contribution from non-controlling interest,현금흐름표 [개요],재무활동으로 인한 현금흐름,종속기업의 증자,335801000000.0,713380000000.0,341864000000.0,165311000000.0,5080000000.0,4806000000.0,10000000.0,75449000000.0,25536000000.0,15646000000.0,147707000000.0,476493000000.0,277476000000.0,10618000000.0,128918000000.0
ifrs-full_PaymentsFromChangesInOwnershipInterestsInSubsidiaries,종속기업의 취득,Payments from changes in ownership interests in subsidiaries that do not result in loss of control,현금흐름표 [개요],재무활동으로 인한 현금흐름,종속기업의 취득,-0.0,-5501000000.0,-0.0,-300670000000.0,,,,,-96595000000.0,11104000000.0,5649000000.0,-175275000000.0,,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [개요],재무활동으로 인한 현금흐름,단기차입금의 상환,-4016458000000.0,-4762286000000.0,-6070109000000.0,4390047000000.0,,,,,,,,,,,
entity00164742_LongTermBorrowingsAndRedemptionOfBondsOfCashFlowsFromUsedInFinancingActivities,장기차입금 및 사채의 상환,Long-term borrowings and redemption of bonds,현금흐름표 [개요],재무활동으로 인한 현금흐름,장기차입금 및 사채의 상환,-42113808000000.0,-34942180000000.0,-27086324000000.0,29164478000000.0,23059360000000.0,20433457000000.0,20228806000000.0,26264109000000.0,19015198000000.0,21142350000000.0,15120767000000.0,16669654000000.0,18890467000000.0,-10436527000000.0,-8455190000000.0
dart_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 상환,"Payments of finance lease liabilities, classified as financing activities",현금흐름표 [개요],재무활동으로 인한 현금흐름,리스부채의 상환,-255797000000.0,-248888000000.0,-195245000000.0,-185158000000.0,-201571000000.0,-159604000000.0,,,,,,,,,
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Purchases of treasury stocks,현금흐름표 [개요],재무활동으로 인한 현금흐름,자기주식의 취득,-232152000000.0,-0.0,-193451000000.0,305337000000.0,303077000000.0,458031000000.0,454734000000.0,,261552000000.0,314945000000.0,144973000000.0,,,400137000000.0,452515000000.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,"Dividends paid, classified as financing activities",현금흐름표 [개요],재무활동으로 인한 현금흐름,배당금의 지급,-3913280000000.0,-2499050000000.0,-1354996000000.0,-1186800000000.0,-893769000000.0,-1121820000000.0,-1127452000000.0,-1138661000000.0,-1084546000000.0,-1352510000000.0,-586928000000.0,-632529000000.0,-523367000000.0,-457650000000.0,-587864000000.0
dart_CashInflowFromIssuanceOfHybridBond,신종자본증권의 발행,Cash inflow from issuance of hybrid bond,현금흐름표 [개요],재무활동으로 인한 현금흐름,신종자본증권의 발행,139640000000.0,159590000000.0,0.0,,,,299240000000.0,,,,,,,,
dart_CashOutflowForRepaymentOfHybridBond,신종자본증권의 상환,Cash outflow for repayment of hybrid bond,현금흐름표 [개요],재무활동으로 인한 현금흐름,신종자본증권의 상환,-0.0,-300000000000.0,-0.0,-150323000000.0,,150323000000.0,299240000000.0,,,,,,,,
dart_ProceedsFromConsolidatedCapitalTransactions,연결자본거래로 인한 현금유입,Proceeds from consolidated capital transactions,현금흐름표 [개요],재무활동으로 인한 현금흐름,연결자본거래로 인한 현금유입,4416882000000.0,0.0,0.0,,,,,,,,,,,,
ifrs-full_OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,기타 재무활동으로 인한 현금유출입액,"Other inflows (outflows) of cash, classified as financing activities",현금흐름표 [개요],재무활동으로 인한 현금흐름,기타 재무활동으로 인한 현금유출입액,-294389000000.0,43849000000.0,-244243000000.0,-148714000000.0,-33158000000.0,-83236000000.0,-98787000000.0,28571000000.0,-50391000000.0,-49769000000.0,-30647000000.0,-51611000000.0,-34652000000.0,-24740000000.0,99569000000.0
entity00164742_TransferFromAssetsHeldForSaleOfStatementOfCashFlowsAbstract,매각예정처분자산집단 대체,Transfer from assets held for sale,현금흐름표 [개요],매각예정처분자산집단 대체,,0.0,-149673000000.0,0.0,,-27784000000.0,,-97050000000.0,,,,,,,,
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [개요],현금및현금성자산에 대한 환율변동효과,,640164000000.0,226193000000.0,-29992000000.0,500127000000.0,-397121000000.0,202820000000.0,-79273000000.0,-427759000000.0,181994000000.0,-166844000000.0,-408729000000.0,-190092000000.0,-185992000000.0,-108697000000.0,37330000000.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 증감,Increase(decrease) in cash and cash equivalents after effect of exchange rate changes,현금흐름표 [개요],현금및현금성자산의 증감,,-151675000000.0,-1698260000000.0,8069325000000.0,2933418000000.0,1180165000000.0,-431654000000.0,292096000000.0,931440000000.0,558626000000.0,234950000000.0,224083000000.0,113092000000.0,,,
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [개요],기초현금및현금성자산,,19166619000000.0,20864879000000.0,12795554000000.0,9862136000000.0,8681971000000.0,9113625000000.0,8821529000000.0,7890089000000.0,7331463000000.0,7096513000000.0,6872430000000.0,6759338000000.0,6231946000000.0,6215815000000.0,5400090000000.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [개요],기말현금및현금성자산,,19014944000000.0,19166619000000.0,20864879000000.0,12795554000000.0,9862136000000.0,8681971000000.0,9113625000000.0,8821529000000.0,7890089000000.0,7331463000000.0,7096513000000.0,6872430000000.0,6759338000000.0,6231946000000.0,6215815000000.0
