"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231,20181231,20171231,20161231,20151231,20141231,20131231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [개요],부채 [개요],비유동부채,,68800973753.0,79501815124.0,98986809815.0,61803038123.0,23091752457.0,14369881806.0,15558305369.0,11860159196.0,4353116421.0,787953372.0,56186131.0,48208797.0
entity01008762_udf_BS_20235811477355_NoncurrentLiabilities,장기기타채무,Long-term other liabilities account,재무상태표 [개요],부채 [개요],비유동부채,장기기타채무,4513822027.0,4465339066.0,6396177433.0,,,,,,,,,
ifrs-full_OtherNoncurrentLiabilities,기타 비유동 부채,Other non-current liabilities,재무상태표 [개요],부채 [개요],비유동부채,기타 비유동 부채,5183000000.0,5045200000.0,,,,,,,,,,
dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [개요],부채 [개요],비유동부채,순확정급여부채,107318156.0,187247692.0,909168583.0,1382983273.0,722635412.0,1104533332.0,733272586.0,292604313.0,513140476.0,758100978.0,56186131.0,
ifrs-full_NoncurrentProvisions,비유동충당부채,Non-current provisions,재무상태표 [개요],부채 [개요],비유동부채,비유동충당부채,888922500.0,816708369.0,807143107.0,795056182.0,,348400000.0,81562200.0,81562200.0,81562200.0,29852394.0,,
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [개요],부채 [개요],비유동부채,기타비유동금융부채,55601996413.0,61366256737.0,80145658670.0,49062462682.0,22151551894.0,12762018798.0,12799275583.0,9083262683.0,3758413745.0,,,
ifrs-full_NoncurrentLeaseLiabilities,비유동 리스부채,Non-current lease liabilities,재무상태표 [개요],부채 [개요],비유동부채,비유동 리스부채,2505914657.0,7621063260.0,10728662022.0,10562535986.0,217565151.0,154929676.0,,,,,,
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [개요],부채 [개요],부채총계,,106219465941.0,105194369267.0,119179284852.0,107735313697.0,32468787678.0,22010437216.0,18507789585.0,14133353889.0,6043464003.0,2292749068.0,8198599703.0,10281352415.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [개요],자본 [개요],지배기업의 소유주에게 귀속되는 자본,,151082145938.0,132542153538.0,179908736071.0,165304070733.0,102505525240.0,104429811606.0,119312151176.0,134840271993.0,147203036965.0,155581203921.0,195337814426.0,20048978209.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [개요],자본 [개요],지배기업의 소유주에게 귀속되는 자본,자본금,6020325000.0,5993080000.0,5925910500.0,5903300000.0,5602185000.0,5602185000.0,5602185000.0,5576255000.0,5544547500.0,5467772500.0,5400000000.0,342000000.0
dart_CapitalSurplus,기타불입자본,Capital surplus,재무상태표 [개요],자본 [개요],지배기업의 소유주에게 귀속되는 자본,기타불입자본,125495895638.0,123037812836.0,117783513406.0,109192033469.0,105738569229.0,105622564173.0,105504366612.0,143142615553.0,143047252933.0,141557905734.0,141793706707.0,2714762209.0
ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings (deficit),재무상태표 [개요],자본 [개요],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),18140830214.0,-9148094620.0,39854674337.0,51740070408.0,-7849794898.0,-6416831032.0,8177836239.0,18189592792.0,36749807010.0,46868522320.0,48144107719.0,16992216000.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [개요],자본 [개요],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,1425095086.0,12659355322.0,16344637828.0,-1531333144.0,-985434091.0,-378106535.0,27763325.0,6029393431.0,0.0,,,
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [개요],자본 [개요],비지배지분,,3065909089.0,2015284075.0,1330018078.0,672085895.0,-2784505257.0,-3031891695.0,-2360737920.0,190483132.0,0.0,,,
ifrs-full_Equity,자본총계,Total equity,재무상태표 [개요],자본 [개요],자본총계,,154148055027.0,134557437613.0,181238754149.0,165976156628.0,99721019983.0,101397919911.0,116951413256.0,135030755125.0,147203036965.0,155581203921.0,195337814426.0,20048978209.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [개요],자본과부채총계,,,260367520968.0,239751806880.0,300418039001.0,273711470325.0,132189807661.0,123408357127.0,135459202841.0,149164109014.0,153246500968.0,157873952989.0,203536414129.0,30330330624.0
