"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_AdjustmentsForGainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정비유동관련처분이익,Adjustments for gains on disposals of non-current assets or disposal groups classified as held for sale,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,매각예정비유동관련처분이익,,,-4664047681.0,-0.0,0.0,,,,,,,,,,
dart_AdjustmentsForInterestExpenses,이자비용 조정,Adjustments for Interest expenses,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,이자비용 조정,11880269.0,11669747.0,55790405.0,27753913.0,63370030.0,99396885.0,248618283.0,1564843053.0,501145542.0,64706844.0,975439231.0,719625017.0,246485483.0,297089126.0,539042556.0
entity00161383_AdjustmentsForInterestExpenseOnLeaseLiabilitiesOfAdjustmentsForReconcileProfitLoss,리스이자비용 조정,Adjustments for Interest expense on lease liabilities,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,리스이자비용 조정,103392692.0,67401855.0,65276503.0,8883299.0,4259461.0,6211765.0,0.0,0.0,,,,,,,
dart_AdjustmentsForLossesOnForeignExchangeTranslations,외화환산손실 조정,Adjustments for losses on foreign exchange translations,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,외화환산손실 조정,871949339.0,479004134.0,4293406188.0,378435003.0,3167084399.0,1381816879.0,388916411.0,4785281610.0,106643441.0,234285548.0,435301495.0,833555325.0,1305846253.0,385856779.0,557219202.0
dart_AdjustmentsForShareBasedPayment,주식보상비용(환입) 조정,Adjustments for share-based payment,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,주식보상비용(환입) 조정,8943498415.0,25253454.0,,3583831429.0,0.0,0.0,,,,,,,,,
dart_AdjustmentsForProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익 조정,Adjustments for profits of associates and joint ventures accounted for using equity method,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,지분법이익 조정,-117480968.0,-4374357077.0,-1180984703.0,-6076657647.0,1169193937.0,156388159.0,0.0,1201015960.0,212881827.0,2015698206.0,1965334337.0,165549477.0,463032135.0,-0.0,89457000.0
ifrs-full_AdjustmentsForDividendIncome,배당수익에 대한 조정,Adjustments for dividend income,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,배당수익에 대한 조정,-853192200.0,-310662000.0,,,,,,,,,,,,,
ifrs-full_AdjustmentsForIncomeTaxExpense,법인세비용 조정,Adjustments for income tax expense,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,법인세비용 조정,45759900620.0,78112045929.0,35584763606.0,31813253225.0,15515491631.0,5313363182.0,12736166914.0,4975052016.0,9614974339.0,6255349171.0,9958868167.0,2537627474.0,7119207882.0,3884643841.0,10415876520.0
dart_AdjustmentsForOtherLossesWithoutCashFlowOut,기타 현금의 유출 없는 비용등,Adjustments for other losses without cash flow out,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,기타 현금의 유출 없는 비용등,553820718.0,721537447.0,5444945.0,-9729110.0,543580833.0,-21157979.0,43667985.0,-30455715.0,-30214246.0,-70312220.0,-266918284.0,22998519.0,59071081.0,39972132.0,18660219.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산 부채의 변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,,-121285668498.0,26833228280.0,-7241047028.0,-70796754002.0,-30300570439.0,6477790459.0,-12047027586.0,-8097141182.0,-2273386094.0,15371106112.0,-34448448555.0,-7098775399.0,8435895872.0,-18715218202.0,-15612403023.0
entity00161383_AdjustmentsForDecreaseIncreaseInNetDefinedBenefitAssetsOfAdjustmentsForAssetsLiabilitiesOfOperatingActivities,퇴직급여자산의 감소(증가),Adjustments for decrease (increase) in net defined benefit assets,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,퇴직급여자산의 감소(증가),-4396912210.0,-1167891910.0,-4155164670.0,0.0,9977659640.0,305895570.0,25285267660.0,34416106110.0,3973323910.0,21324544055.0,9785321627.0,0.0,8003215554.0,2987072362.0,1454962629.0
ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,매출채권의 감소(증가),Adjustments for decrease (increase) in trade accounts receivable,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,매출채권의 감소(증가),-92091868153.0,48008005268.0,10867638357.0,-31831514350.0,-40331154783.0,780722412.0,17361977206.0,-22170083770.0,-3275301537.0,25484426865.0,-29881605430.0,13195641137.0,-203950848.0,12682828460.0,
ifrs-full_AdjustmentsForDecreaseIncreaseInInventories,재고자산의 감소(증가),Adjustments for decrease (increase) in inventories,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,재고자산의 감소(증가),-68555116222.0,-18912788641.0,638511624.0,-38734091444.0,-11914652792.0,2412353850.0,-15177587987.0,8244419215.0,2797518067.0,-3380640201.0,-3587833486.0,-10463334419.0,4065146375.0,-5074998018.0,-10445833334.0
dart_AdjustmentsForDecreaseincreaseInOtherCurrentFinancialAssets,기타유동금융자산의 감소(증가),Adjustments for decrease (increase) in other current financial assets,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타유동금융자산의 감소(증가),-255432995.0,-124374871.0,4844730598.0,-3029527352.0,-635251332.0,803121997.0,-678608071.0,-233632815.0,-488587228.0,1270372455.0,-2603212755.0,-2675060474.0,-1623126912.0,1662812480.0,150802792.0
ifrs-full_AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,기타유동자산의 감소(증가) 조정,Adjustments for decrease (increase) in other current assets,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타유동자산의 감소(증가) 조정,171674479.0,-705198050.0,-856375701.0,26594400.0,535791214.0,522143349.0,-437060597.0,-349471084.0,-488641754.0,91290416.0,209524868.0,-483686118.0,2776304980.0,-3253570419.0,150802792.0
ifrs-full_AdjustmentsForIncreaseDecreaseInTradeAccountPayable,매입채무의 증가(감소),Adjustments for increase (decrease) in trade accounts payable,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,매입채무의 증가(감소),34836930799.0,5809743278.0,-20418448894.0,9207406424.0,11628326688.0,4153324599.0,-4347489147.0,5555005686.0,1549028701.0,-2354551388.0,329486291.0,-715354547.0,1819282865.0,-18409818595.0,
dart_AdjustmentsForIncreasedecreaseInProvisions,충당부채의 증가(감소),Adjustments for increase (decrease) in provisions,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,충당부채의 증가(감소),4484039336.0,-1875931621.0,388722598.0,999915593.0,1135623667.0,-1015616855.0,71014484.0,777834035.0,390016488.0,-651890369.0,2375527732.0,968809704.0,-402696718.0,552792711.0,1206799123.0
dart_AdjustmentsForIncreasedecreaseInOtherCurrentFinancialLiabilities,기타유동금융부채의 증가(감소),Adjustments for increase (decrease) in other current financial liabilities,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타유동금융부채의 증가(감소),1996470179.0,-3411427555.0,1054191394.0,-1622857006.0,10642090911.0,-747869909.0,1280619729.0,660781918.0,-1412633772.0,-591781475.0,636227865.0,-762924690.0,955440093.0,-569846364.0,
ifrs-full_AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities,기타유동부채의 증가(감소),Adjustments for increase (decrease) in other current liabilities,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타유동부채의 증가(감소),2676112289.0,-696094868.0,438708666.0,-2135751737.0,3332945986.0,-1077026002.0,-4326838953.0,2264327171.0,1265890565.0,-2027433241.0,4956643893.0,248101800.0,1587335605.0,-3087401596.0,4078084573.0
dart_AdjustmentsForIncreasedecreaseInOtherNonCurrentNonFinancialLiabilities,기타비유동비금융부채의 증가(감소),Adjustments for increase (decrease) in other non-current non-financial liabilities,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타비유동비금융부채의 증가(감소),8000000.0,5000000.0,1000000.0,62000000.0,-1097000000.0,946000000.0,-563600000.0,16800000.0,-24000000.0,-867200000.0,-509600000.0,480800000.0,1873200000.0,-100000000.0,-42190000.0
dart_AdjustmentsForIncreaseDecreaseInOtherNonCurrentLiabilities,기타비유동부채의 증가(감소),Adjustments for increase (decrease) in other non-current liabilities,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,기타비유동부채의 증가(감소),-159566000.0,-95812750.0,-44561000.0,-509426270.0,251469892.0,237468328.0,-45489173.0,58704392.0,506137256.0,0.0,0.0,,,,
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [개요],영업활동현금흐름,이자수취,,5909084632.0,4365546079.0,591557845.0,85778307.0,436149533.0,151308094.0,477650312.0,878486450.0,238141580.0,586299544.0,811450374.0,1181379321.0,426118203.0,223198018.0,585158700.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),"Interest paid, classified as operating activities",현금흐름표 [개요],영업활동현금흐름,이자지급(영업),,-100191649.0,-61387827.0,-110485464.0,-27405050.0,-40778409.0,-67866686.0,-236698439.0,-328039200.0,-94568835.0,-2890713.0,-433129995.0,-355420536.0,-225851458.0,-267708952.0,-521220306.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세환급(납부),Income taxes refund (paid),현금흐름표 [개요],영업활동현금흐름,법인세환급(납부),,-35007038059.0,-26911435481.0,-39120673425.0,-22641573132.0,-7297063470.0,-4256976112.0,-13152771644.0,-14486622248.0,-6936758044.0,-13101976615.0,-2283748945.0,-9505645153.0,-2220012795.0,-12384454590.0,-2827362715.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취(영업),"Dividends received, classified as operating activities",현금흐름표 [개요],영업활동현금흐름,배당금수취(영업),,853192200.0,310662000.0,,,,,,,,,,,,,
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [개요],투자활동현금흐름,,,9424530414.0,84636164574.0,-18079678286.0,-64957521614.0,11667327543.0,9147890608.0,-22969014357.0,16742696026.0,-30412951831.0,-2759998214.0,-7816500243.0,13590063433.0,-28753931568.0,26637776718.0,-6568907662.0
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [개요],투자활동현금흐름,유형자산의 처분,,410380900.0,1559401457.0,999727272.0,207467090.0,1671613546.0,4255032346.0,455569273.0,686311587.0,3886542956.0,332310540.0,45801493.0,150983763.0,849113158.0,1623789274.0,295041638.0
dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익인식금융자산의 처분,Proceeds from sales of fair value financial asset,현금흐름표 [개요],투자활동현금흐름,당기손익인식금융자산의 처분,,63361976673.0,92877484355.0,,0.0,,,,,,,,,,,
dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,Proceeds from sales of non-current assets or disposal groups classified as held for sale,현금흐름표 [개요],투자활동현금흐름,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,,,3387767680.0,4616399920.0,0.0,9977659640.0,305895570.0,25285267660.0,34416106110.0,3973323910.0,21324544055.0,9785321627.0,0.0,,,
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,현금흐름표 [개요],투자활동현금흐름,임차보증금의 감소,,302983011.0,1322197783.0,4843316.0,4575000.0,0.0,9183200.0,204000.0,0.0,0.0,60144000.0,7400000.0,815056761.0,597010000.0,118440000.0,228110000.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 처분,Proceeds from sales of short term Financial Instruments,현금흐름표 [개요],투자활동현금흐름,단기금융상품의 처분,,,13399000000.0,,0.0,,,,27500000000.0,0.0,0.0,,32620192163.0,30632924771.0,26779841735.0,139416468658.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Purchase of long-term financial instruments,현금흐름표 [개요],투자활동현금흐름,장기금융상품의 취득,,-436800.0,,-1436880.0,-1436880.0,1436880.0,1436880.0,1436880.0,1436880.0,0.0,0.0,,,,,
dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,Increase in guarantee deposits,현금흐름표 [개요],투자활동현금흐름,임차보증금의 증가,,-863394680.0,-294341739.0,-1025923629.0,-828605321.0,8414700.0,0.0,721672.0,4843316.0,0.0,0.0,,,,,
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [개요],투자활동현금흐름,단기금융상품의 취득,,,,-13380000000.0,0.0,0.0,,,,27500000000.0,0.0,0.0,,62745681815.0,507435119.0,171110805443.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [개요],투자활동현금흐름,유형자산의 취득,,-53537061092.0,-27531410354.0,-9090926920.0,-25283707204.0,-7441744690.0,-18989498936.0,-24225055206.0,-9924629192.0,-9165598714.0,-3375828648.0,2797385329.0,18698217387.0,8754436493.0,8789538197.0,7950600081.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [개요],투자활동현금흐름,무형자산의 취득,,-249917598.0,-83934608.0,-202361365.0,-1556114941.0,-314672733.0,-261930143.0,-332642532.0,-2387106173.0,-535272508.0,-508737521.0,722474439.0,730252337.0,518238734.0,431408469.0,1871420828.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [개요],재무활동현금흐름,,,-231725385169.0,-43622103656.0,-50841790287.0,-19856287040.0,-15095281813.0,-12993582279.0,-71052093180.0,-45220982110.0,22544012590.0,-33285675055.0,-29862951643.0,5508091471.0,-6862323901.0,-17467756662.0,-4547683951.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [개요],재무활동현금흐름,단기차입금의 증가,,,,11166991039.0,5000000000.0,20000000000.0,10000000000.0,41000000000.0,0.0,0.0,,5641987484.0,1418499985.0,41675022478.0,39376172000.0,60676645868.0
dart_DispositionOfTreasuryShares,자기주식의 처분,Disposition of treasury shares,현금흐름표 [개요],재무활동현금흐름,자기주식의 처분,,,27638206583.0,,0.0,,,,,,,,,,,17138968528.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [개요],재무활동현금흐름,배당금지급,,-40521474840.0,-19467860400.0,-29675926200.0,-19671513600.0,-5024063400.0,-12570633500.0,-12641825520.0,-10804876000.0,-10963438500.0,-11961131000.0,11773535500.0,11773535500.0,2491203100.0,12716420500.0,2351342700.0
