"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_AdjustmentsForIncreaseDecreaseInDerivativeFinancialLiabilities,파생금융부채의 증가(감소),Adjustments for increase (decrease) in derivative financial liabilities,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,파생금융부채의 증가(감소),-17039384821.0,,,,,,,,,,
dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,Increase in guarantee deposits,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,임차보증금의 증가,-1188717102.0,-2226433076.0,-1334402493.0,-1301039353.0,699110500.0,,,149945358.0,135945642.0,,
dart_RepaymentOfGovernmentGrantsClassifiedAsInvestingActivities,"정부보조금의 상환, 투자활동",Repayment of government grants classified as investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,"정부보조금의 상환, 투자활동",-81609040.0,,,,-7183370259.0,,,,,,
dart_IncreaseInLoans,대여금의 증가,Increase in loans,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,대여금의 증가,-196337184975.0,-113020826439.0,,,,,,,,,
entity00536541_OtherCashOutflowsFromInvestingActivitiesOfOutflowsOfCashFromInvestingActivities,기타의투자활동으로 인한 현금유출,Other cash outflows from investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,기타의투자활동으로 인한 현금유출,-550000000.0,,,,,,,,,,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동 현금흐름,Cash flows from (used in) financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,,,959489963877.0,2151297939222.0,1029798919265.0,704277674871.0,168091958758.0,249124570164.0,87185276961.0,80452282769.0,111849697335.0,14220928681.0,2714279133.0
entity00536541_InflowsOfCashFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금유입액,Inflows of cash from financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유입액,,4347516767374.0,5408707423055.0,2575290791073.0,,,,,,,,
entity00536541_TransactionsOfNonControllingInterestOfInflowsOfCashFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,비지배지분과의 거래,Transactions of non-controlling interest,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유입액,비지배지분과의 거래,126109677247.0,1262882215917.0,468230343150.0,57851208280.0,,,,,,,
dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short term borrowings,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유입액,단기차입금의 차입,2696477256350.0,3483427304487.0,1633094228906.0,855498365279.0,412303658825.0,389955123058.0,390016033392.0,135146857006.0,65911490937.0,71312124738.0,31900314782.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,Proceeds from long term borrowings,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유입액,장기차입금의 차입,790236086489.0,89800000000.0,431800000000.0,243593966237.0,134725000000.0,103456816337.0,110182894598.0,40930801786.0,25442000000.0,6400000000.0,2730000000.0
