"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231,20181231,20171231,20161231,20151231,20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers,매입채무,Trade and other current payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,매입채무,256475607593.0,669341036137.0,705571588557.0,111939128050.0,63397261526.0,30941214945.0,,40491121760.0,29929664406.0,14462443580.0,10062617132.0
ifrs-full_CurrentContractLiabilities,유동계약부채,Current contract liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,유동계약부채,968903378.0,2259128898.0,2133298953.0,9112128652.0,10886622556.0,5347594580.0,403677219.0,,,,
ifrs-full_CurrentBorrowingsAndCurrentPortionOfNoncurrentBorrowings,차입금,Current borrowings,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,차입금,1620388477802.0,1797865693620.0,1065272927550.0,533473249665.0,189480285213.0,166918065058.0,129461363726.0,131921969816.0,77598827777.0,69906826709.0,87569721812.0
ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,기타유동금융부채,254225677505.0,192725135583.0,214819155287.0,152038758657.0,72423776861.0,51868083244.0,,,,,
ifrs-full_CurrentDerivativeFinancialLiabilities,파생상품부채,Current derivative liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,파생상품부채,19170717671.0,3678105194.0,1731359459.0,1411659204.0,32060418466.0,,,,,,
ifrs-full_OtherCurrentLiabilities,기타 유동부채,Other current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,기타 유동부채,5622715310.0,9071139075.0,11812569098.0,7477710292.0,7099911987.0,3523890343.0,1890728400.0,5758323007.0,193138907.0,293102170.0,52937481.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,당기법인세부채,24737284679.0,65675442836.0,79949881317.0,150841665723.0,9626602841.0,513078211.0,6631791468.0,1320342550.0,1006510234.0,154327713.0,
ifrs-full_CurrentLeaseLiabilities,리스부채,Current lease liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,리스부채,2959526800.0,2960556137.0,1374238585.0,1058922378.0,942721896.0,1523163999.0,,,,,
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,,2115253478527.0,1327266810791.0,741336930529.0,736177922357.0,308533150345.0,220218824880.0,176691335177.0,84249001021.0,63946931099.0,33894926260.0,11193225168.0
ifrs-full_LongtermBorrowings,차입금,"Long-term borrowings, gross",ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,차입금,1582768158246.0,817906502838.0,557378236950.0,509028193786.0,252682181578.0,202139691437.0,154711574513.0,74465716008.0,58979789305.0,29707601171.0,9067979848.0
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,기타비유동금융부채,430241509261.0,397224728353.0,17704692137.0,10726161683.0,3779208163.0,1260830450.0,7388120916.0,817571491.0,1256676330.0,1360943332.0,375582974.0
ifrs-full_OtherNoncurrentLiabilities,기타비유동부채,Other non-current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,기타비유동부채,855362412.0,831977999.0,582539912.0,773762805.0,158248373.0,,1089432055.0,3383253218.0,1256676330.0,1360943332.0,375582974.0
ifrs-full_NoncurrentLeaseLiabilities,리스부채,Non-current lease liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,리스부채,5178683250.0,4664667180.0,2292820482.0,1108507977.0,1021437836.0,999268555.0,,,,,
ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,비유동 순확정급여부채,Non-current net defined benefit liability,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,비유동 순확정급여부채,39496331700.0,33505323509.0,29755628185.0,33120541765.0,22326747511.0,15360822109.0,11808656148.0,4355494597.0,3710465464.0,2826381757.0,1749662346.0
entity00536541_LongTermEmployeeBenefitLiabilitiesOfNoncurrentLiabilities,장기종업원급여부채,Long-term Employee Benefit Liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기종업원급여부채,3863566827.0,2770804913.0,1980450060.0,1781004990.0,1046130417.0,,,,,,
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,이연법인세부채,52849866831.0,70362805999.0,131642562803.0,126695366911.0,3673553504.0,,1693551545.0,1226965707.0,,0.0,
ifrs-full_Liabilities,부채총계,Total liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],부채총계,,4299802389265.0,4070843048271.0,2824001949335.0,1703531144978.0,694450751691.0,480853915260.0,435653503171.0,263740758154.0,172675072423.0,118711626432.0,108878501593.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유지분,Equity attributable to owners of parent,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유지분,,1605443011668.0,1670268881930.0,1307784427091.0,1143963293236.0,326606407817.0,275224628903.0,180878837823.0,146591809215.0,144350380933.0,101832377073.0,
ifrs-full_IssuedCapital,자본금,Issued capital,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유지분,자본금,13313835500.0,13313835500.0,12628762500.0,11987836000.0,11045095500.0,11045095500.0,11045095500.0,11045095500.0,10681823500.0,8482026000.0,7011255500.0
ifrs-full_SharePremium,주식발행초과금,Capital surplus,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유지분,주식발행초과금,308366461522.0,808368961522.0,758523033070.0,694781518489.0,53318209506.0,53229011772.0,146599840658.0,146604500192.0,137430810684.0,87805368770.0,63769139061.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유지분,기타포괄손익누계액,60006402145.0,2320372155.0,-2619680752.0,11026200152.0,5797398355.0,-14376585.0,,,,,
dart_ElementsOfOtherStockholdersEquity,기타자본항목,Elements of other stockholder's equity,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유지분,기타자본항목,475328480007.0,388450395346.0,114392918820.0,61754405937.0,121989313766.0,92496878976.0,,,,,63769139061.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유지분,이익잉여금,748427832494.0,457815317407.0,424859393453.0,364413332658.0,134456390690.0,118468019240.0,23233901665.0,-11057786477.0,-3762253251.0,5544982303.0,5831180301.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],비지배지분,,2233019161598.0,1815866844871.0,1213996226618.0,552950535190.0,262107685231.0,171756341260.0,50982418198.0,37812976905.0,29331320246.0,0.0,
ifrs-full_Equity,자본총계,Total equity,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],자본총계,,3838462173266.0,3486135726801.0,2521780653709.0,1696913828426.0,588714093048.0,446980970163.0,231861256021.0,184404786120.0,173681701179.0,101832377073.0,76611574862.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과부채총계,,,8138264562531.0,7556978775072.0,5345782603044.0,3400444973404.0,1283164844739.0,927834885423.0,667514759192.0,448145544274.0,346356773602.0,220544003505.0,185490076455.0
