"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,당기법인세부채,13795557000.0,0.0,0.0,,,
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,,1890282453000.0,1981150310000.0,1929574380000.0,2436039089000.0,2461950111000.0,2332292923000.0
ifrs-full_OtherNoncurrentFinancialLiabilities,장기금융부채,Non-current financial liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기금융부채,751605744000.0,1568942823000.0,1159024155000.0,1958992315000.0,2039417620000.0,1881949929000.0
ifrs-full_NoncurrentLeaseLiabilities,비유동 리스부채,Non-current lease liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,비유동 리스부채,20130244000.0,27009363000.0,31277476000.0,12746171000.0,8612448000.0,3244049000.0
ifrs-full_NoncurrentPayables,장기매입채무및기타채무,Long-term trade and other payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기매입채무및기타채무,8909028000.0,3790807000.0,380996000.0,248798000.0,211771000.0,215107000.0
ifrs-full_NoncurrentContractLiabilities,장기계약부채,Non-current financial liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기계약부채,9995742000.0,10278199000.0,10551260000.0,10815243000.0,11070445000.0,11317161000.0
ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,확정급여부채,Liabilities for defined benefit plans,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,확정급여부채,33647533000.0,31630734000.0,28462252000.0,33198092000.0,36325250000.0,71725798000.0
ifrs-full_NoncurrentProvisions,비유동충당부채,Non-current provisions,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,비유동충당부채,71487138000.0,51468150000.0,279748701000.0,269562659000.0,275207723000.0,278037023000.0
ifrs-full_NoncurrentDerivativeFinancialLiabilities,파생상품부채,Non-current derivative financial liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,파생상품부채,994420031000.0,107085369000.0,190170417000.0,146030764000.0,24620590000.0,37386492000.0
dart_NonCurrentFirmCommitmentLiabilities,확정계약부채,Non-current firm commitment liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,확정계약부채,86993000.0,180944865000.0,229959123000.0,4445047000.0,66484264000.0,48417364000.0
ifrs-full_Liabilities,부채총계,Total liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],부채총계,,13686498249000.0,11926177799000.0,11001578566000.0,9484646542000.0,8438873228000.0,8246551333000.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유주에게 귀속되는 자본,,5704447952000.0,5207440082000.0,5287819487000.0,5594024949000.0,5360784621000.0,5622907442000.0
ifrs-full_IssuedCapital,자본금,Common stock,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유주에게 귀속되는 자본,자본금,443865580000.0,443865580000.0,443865580000.0,443865580000.0,353865580000.0,353865580000.0
dart_CapitalSurplus,자본잉여금,Capital surplus,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유주에게 귀속되는 자본,자본잉여금,3122522702000.0,3123227191000.0,3118364962000.0,3118364962000.0,4639942059000.0,4639942059000.0
dart_ElementsOfOtherStockholdersEquity,자본조정,Capital adjustments,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유주에게 귀속되는 자본,자본조정,-1642927000.0,-1642927000.0,-1642927000.0,-1411000000.0,-1411000000.0,-1411000000.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,851361408000.0,869146269000.0,881829100000.0,881487616000.0,873473232000.0,735432323000.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업의 소유주에게 귀속되는 자본,이익잉여금,1288341189000.0,772843969000.0,845402772000.0,1151717791000.0,-505085250000.0,-104921520000.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],비지배지분,,549000.0,228000.0,0.0,0.0,,
ifrs-full_Equity,자본총계,Total equity,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],자본총계,,5704448501000.0,5207440310000.0,5287819487000.0,5594024949000.0,5360784621000.0,5622907442000.0
ifrs-full_EquityAndLiabilities,부채 및 자본총계,Total liabilities and equity,ifrs-full:StatementOfFinancialPositionAbstract,부채 및 자본총계,,,19390946750000.0,17133618109000.0,16289398053000.0,15078671491000.0,13799657849000.0,13869458775000.0
