"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,,,-36798709769.0,-148407020694.0,11175776194.0,-40914923416.0,-91542293858.0,-38638006314.0,-38497731983.0,-17963119079.0,-11426971021.0,-66789789090.0,128994998435.0,7593046743.0,30532178463.0,20541662434.0,41289599604.0
entity00103006_CashInflowFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금유입액,Cash inflow from financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 현금유입액,,146187305528.0,77657591147.0,58638020629.0,23461914235.0,110384582138.0,299645771843.0,271643735236.0,106867318376.0,205303480765.0,309456641175.0,321535958518.0,92791629313.0,529398114685.0,594838958168.0,302851895413.0
ifrs-full_ProceedsFromBorrowingsClassifiedAsFinancingActivities,차입금의 증가,"Proceeds from borrowings, classified as financing activities",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 현금유입액,차입금의 증가,136351203102.0,71936616917.0,58638020629.0,23461914235.0,110384582138.0,299645771843.0,271643735236.0,106867318376.0,205303480765.0,309456641175.0,321535958518.0,89943735534.0,529393375159.0,577956051218.0,300711191663.0
ifrs-full_ProceedsFromContributionsOfNoncontrollingInterests,비지배지분의 출자,Proceeds from contributions of non-controlling interests,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 현금유입액,비지배지분의 출자,9836102426.0,5720974230.0,,7708058014.0,1078272000.0,11850401410.0,,,4690390833.0,9130770000.0,,2847893779.0,4739526.0,16882906950.0,2140703750.0
entity00103006_CashOutflowFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금유출액,Cash outflow from financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 현금유출액,,-182986015297.0,-226064611841.0,-47462244435.0,,,,,,,,-192540960083.0,-85198582570.0,-498865936222.0,-574297295734.0,-261562295809.0
ifrs-full_RepaymentsOfBorrowingsClassifiedAsFinancingActivities,차입금의 상환,Repayments of borrowings,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 현금유출액,차입금의 상환,-166759123269.0,-207829822280.0,-36999921829.0,-64188021875.0,-193453780157.0,-340437274601.0,-303788162777.0,-118145274239.0,-215122251719.0,-380097328062.0,187292102133.0,79949724620.0,494282554581.0,569748167584.0,257013167659.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 현금유출액,배당금지급,-9142466851.0,-7027108436.0,-7266323465.0,-5998315200.0,-6998034400.0,-6998034400.0,-6298590900.0,-6636109216.0,-6298590900.0,-5248857950.0,5248857950.0,5248857950.0,4549128150.0,4549128150.0,4549128150.0
ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 상환,"Payments of lease liabilities, classified as financing activities",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 현금유출액,리스부채의 상환,-7084425177.0,-4795142160.0,-3195999141.0,-1865328598.0,-2553333439.0,-2698870566.0,,,,,,,,,
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 현금유출액,자기주식의 취득,-0.0,-85339537.0,-0.0,-33229992.0,,,54713542.0,,,31014253.0,,,34253491.0,0.0,0.0
ifrs-full_PaymentsFromChangesInOwnershipInterestsInSubsidiaries,종속기업 소유지분 변동,Payments from changes in ownership interests in subsidiaries that do not result in loss of control,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 현금유출액,종속기업 소유지분 변동,-0.0,-6327199428.0,-0.0,-0.0,,,,,,,,,,,
ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,환율변동효과 반영전 현금및현금성자산의 순증가(감소),Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,ifrs-full:StatementOfCashFlowsAbstract,환율변동효과 반영전 현금및현금성자산의 순증가(감소),,,-43861154239.0,-18846549988.0,45860773033.0,-3195030751.0,37917829487.0,-30635445931.0,32908951267.0,2465295634.0,-49273853219.0,-21461919122.0,139167529757.0,5851174666.0,-6736089353.0,7030114139.0,-10511417889.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초 현금및현금성자산,Cash and cash equivalents at beginning of period,ifrs-full:StatementOfCashFlowsAbstract,기초 현금및현금성자산,,,184205136831.0,203383658172.0,159305426565.0,156938068404.0,122345942641.0,150396335838.0,117301702235.0,118299167791.0,169790326561.0,191196140428.0,51443454524.0,44880612312.0,51574863286.0,44542397057.0,55046836162.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화표시 현금및현금성자산의 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,ifrs-full:StatementOfCashFlowsAbstract,외화표시 현금및현금성자산의 환율변동효과,,,14774516028.0,-331971353.0,-1782541426.0,5562388912.0,-3325703724.0,2585052734.0,185682336.0,-3462761190.0,-2217305551.0,56105255.0,585156147.0,711667546.0,41838379.0,2352090.0,6978784.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말 현금및현금성자산,Cash and cash equivalents at end of period,ifrs-full:StatementOfCashFlowsAbstract,기말 현금및현금성자산,,,155118498620.0,184205136831.0,203383658172.0,159305426565.0,156938068404.0,122345942641.0,150396335838.0,117301702235.0,118299167791.0,169790326561.0,191196140428.0,51443454524.0,44880612312.0,51574863286.0,44542397057.0
